Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permissionNote,Rights.rightsHolderName,Subject.category,Subject.period,Name.photographer,Name.author,Physical-Description.material,Physical-Description.medium,Name.creator,Physical-Description.technique,Physical-Description.dimensions,Rights.permission,Coverage.discoveryLocation,Coverage.creationLocation,Subject.place,Name.repository,Physical-Description.extent,Coverage.currentRepository,Name.subject,Title,Description.view,Alt ID.uee,Description.caption,Relation.isPartOf,Description.note,Alt ID.ueePlaceID,Alt ID.local,Description.abstract,Alternate Title.Arabic,Alternate Title.French,Alternate Title.German,Date.normalized,Date.publication,Source,Description.angle,Description.direction,Date.captured,Alt ID.collection,Date.creation,Alternate Title.transliterated
UCLA Encyclopedia of Egyptology,ark:/21198/zz002k7jnt,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k7jnt%2Ftj40690k,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Economy ,,,"Vymazalová, Hana",,,,,,Y,,,,,,,,Ration System,,,,,,,,"The distribution of rations can be found in documents from different periods of Egyptian history, yet the general features of the ration system are not easy to trace. Most of our sources comprise more or less fragmentary lists of wages/payments that reflect, but do not make explicit, various conditions, such as the status of the recipients, the period to which the payment corresponds, etc. Other documents provide us with categories of allowances. A few traces of a systematic approach can be recognized in the evidence—for instance, value-units and day’s-work units, but many details remain unclear. Bread, beer, and grain represented the basic components of rations in all periods. Bread and beer were often allocated daily, while grain was provided during some periods as a monthly payment. Meat was considered an extra ration. Linen and other valuable provisions could be distributed at longer intervals, such as once a year. Rations were distributed to the attendants of projects organized by the state, but similar payments in the form of commodities occurred in exchange for a hired service in the private sphere.",(نظام الجراية (المؤن,système des rations,"Zuteilungsystem, das",2016,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz00252xth,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz00252xth-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Performing Arts",,,"Meyer-Dietrich, Erika",,,,,,Y,,,,,,,,"Recitation, Speech Acts, and Declamation",,uee1135,,,,,,"Ancient Egyptian texts have been found with instructions on how they should be performed. Recitation, speech acts, and declamation are related to the action of speaking out loud in religious-ritual and juridical contexts, as well as for entertainment. Recitations are used in contexts that demand a correct wording or the power of words as utterance. Speech acts are performative or operative texts, which have an effect by being spoken out loud and result in a change of the persons or objects that are addressed by the text. Declamations are a performance of literary compositions to an audience. The basis on which texts can be considered as part of a recitation, speech act, or declamation are not only in-text terms but also indications of their performance-context, their localization in an accessible place, and their performance by an authorized person.",التلاوة، النصوص السردية، والخطابة,"Récitation, énoncés performatifs et déclamation","Rezitation, Sprechakte und Deklamation",2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002564qn,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002564qn-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Karnak,,,"Sullivan, Elaine",,,,,,Y,,,,,,,,Karnak: Development of the Temple of Amun-Ra,,uee1132,,,,,,"The temple of Amun-Ra at Karnak (Luxor) experienced over 1,500 years of construction, destruction, renovation, and expansion. Here we provide a detailed survey of the current understanding of the temple’s chronological development, based primarily on published excavations reports, as well as interpretive articles and recent discoveries at the site.",الكرنك: تطور معبد آمون رع,"Karnak, le développement du temple d’Amon-Ra","Karnak, die Baugeschichte des Amuntempels",2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025jjv0,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz0025jjv0-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Portrait Versus Ideal Image",,,"Laboury, Dimitri",,,,,,Y,,,,,,,,Portrait versus Ideal Image,,uee1141,,,,,,"Ancient Egyptian art’s concern with individualized human representation has generated much debate among Egyptologists about the very existence of portraiture in Pharaonic society. The issue has often—if not always—been thought of in terms of opposition between portrait and ideal image, being a major topic in the broader question of realism and formal relation to reality in ancient Egyptian art. After a brief analysis of the problem from a theoretical point of view, the article deals with the Egyptological reception of the subject and considers the concepts involved in the notion of portrait within the context of ancient Egyptian thought. A few significant cases selected from the corpus of royal statuary are then investigated in order to elucidate the motives and modalities of the interaction between portrait and ideal image in ancient Egyptian individualized representations.",(فن تصوير الوجه (البورتريه,Portrait ou image idéal(isé)e,Porträt versus Idealbildnis,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0026jkd5,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz0026jkd5-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Quarrying and Mining Technology",,,"Bloxam, Elizabeth",,,,,,Y,,,,,,,,Quarrying and Mining (Stone),,uee1089,,,,,,"Ancient quarrying and mining sites, which represent some of the most threatened archaeological sites in Egypt, often present extensive cultural landscapes comprising a range of material culture; however, their research potential is still not fully recognized. Hard and soft stone quarrying and gemstone mining in ancient Egypt are poorly understood activities, although both are well attested throughout the Pharaonic era. Current research is re-shaping ideas about, for example, the major use of stone tools and fire in extracting hard stones, transmission of stone-working technologies across often deep time depths, and the role of skilled kin-groups as a social construct rather than large unskilled labor forces.",(التحجير والتعدين (إستخراج الأحجار,L’extraction de la pierre dans les mines et les carrières,Steingewinnung,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0026vj53,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz0026vj53-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Uses and Applications|~|Mudbrick",,,"Emery, Virginia",,,,,,Y,,,,,,,,Mud-Brick,,uee1145,,,,,,"Made from a mixture of silt, clay, sand, and straw formed into regular molded units, mud-bricks were the primary construction material employed in ancient Egypt—being quite literally the most basic of building blocks for all levels of domestic structures, from simple one-room structures to lavishly decorated palace complexes, as well as administrative and storage structures, and even early phases of temples. Modern methods of mud-brick fabrication accord with ancient evidence, suggesting that the production of mud-brick has remained a stable technology through the millennia. Ancient evidence concerning mud-brick not only illuminates mud-brick production organization, but also highlights the symbolic significance of bricks in religious contexts, especially relating to birth and death.",الطوب اللبن,Brique crue,Lehmziegel,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0026w9gt,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz0026w9gt-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Uses and Applications|~|Throne",,,"Kuhlmann, Klaus P.",,,,,,Y,,,,,,,,Throne,,uee1138,,,,,,"By today’s definition, a “throne” is the seat of a king or sovereign. In ancient Egypt, a plethora of terms referred to the throne, but none apparently carried this specific connotation. Explicit reference to the seat of a king or god was made by addressing the latter’s “elevated” position (wrr, aA). There were two major types of thrones: a basic (“sacred”) one of the gods and of pharaoh as their heir and successor that had the shape of a square box (block-throne) and a “secular” one that incorporated a pair of lions into a stool or chair (lion-throne) and depicted pharaoh as powerful ruler of the world. Thrones usually stood on a dais inside a kiosk, elevating the ruler well above his subjects and displaying his supreme social rank. At the same time, the arrangement was meant to evoke a comparison with the sun god resting on the primordial hill at the moment of creating the world. The enthronization of pharaoh was thought to be a perpetuation of this cosmogonic act, which was referred to as “the first time” (zp tpj). As an object, which could be desecrated (for example, by usurpation), the Egyptian throne underwent purification rites. There is no evidence, however, of it ever having received cultic reverence or having been deified (as the goddess Isis).",العرش,Trône,Thron,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0027fcpg,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz0027fcpg-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religion|~|Foreign Deities (worshipped in Egypt),,,"Zivie-Coche, Christiane",,,,,,Y,,,,,,,,Foreign Deities in Egypt,,uee1011,,,,,,"The presence of foreign deities in the Egyptian pantheon must be studied in the light of the openness of Egyptian polytheism and as a reflection on cultural identity. Even if Egyptian self-identity was defined as intrinsically opposed to the Other, i.e. the foreigner, Egypt always maintained contact with its neighbors, particularly Nubia and the Near East. These intercultural contacts had an effect on the religion. Since the earliest times, deities like Dedoun, Ha, or Sopdu formed an integral part of the Egyptian pantheon, so much so that their likely foreign origin is not immediately perceptible. Particularly important is the introduction of a series of Near Eastern deities into the established pantheon at the beginning of the New Kingdom, under the reign of Amenhotep II. Receiving cult from both the state and private individuals, these deities were worshiped under their foreign name while depicted in Egyptian fashion. Their principal function was providing protection. It is the very nature of Egyptian polytheism that allowed for foreign divinities to acquire the same status as the indigenous gods.",المعبودات الاجنبية في مصر,Dieux étrangers en Égypte,Ausländische Götter in Ägypten,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002814vq,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002814vq-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Individual and Society|~|The State and its Institutions|~|Text, Image, and Writing",,,"Katary, Sally L. D.",,,,,,Y,,,,,,,,Taxation (until the End of the Third Intermediate Period),,uee1787,,,,,,"Although hampered by many limitations in source material, scholars have amassed many details concerning the ancient Egyptian taxation system from all periods and have begun to understand how the system may have worked. The best documentation for taxation comes from the New Kingdom, when the combined evidence of government records and administrative texts leads to the conclusion that Egypt enjoyed a “mixed economy.” The economic system fostered a complex system of economic interdependency wherein market forces played a complementary role: thus it was a “mixed” rather than a redistributive economy. Temples played a major role in the collection and redistribution of tax revenues. Especially important was the grain tax, which is well documented from many perspectives and was largely derived from the cultivation of lands on temple domains. Taxes were also paid to the Royal Treasury in livestock and other commodities. Taxation included a labor component in the form of the conscription of workers obliged to toil periodically tilling fields, laboring on construction projects, digging irrigation canals, and obtaining raw materials abroad. Tax revenues were used to finance royal building projects, maintain royal residences, carry on work in the quarries, supervise border security, wage war, support officials on missions, finance external trade, and safeguard trade routes. By the end of the Third Intermediate Period, the effects of the monetization of the economy gradually began to be felt. During this transformation, taxes in kind were replaced by taxes in coin.",(الضرائب (حتى نهاية العصر الانتقالي الثالث,Imposition et Impôts (jusqu’à la fin de la Troisième Période Intermédiaire),Steuer und Abgaben (bis zum Ende der Dritten Zwischenzeit),2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz00289zd5,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz00289zd5-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Uses and Applications",,,"Nicholson, Paul T.",,,,,,Y,,,,,,,,"Glassworking, Use and Discard",,uee1081,,,,,,"Glass in ancient Egypt appeared in the New Kingdom. It was a novel and highly prized material, which quickly found favor with the elite. The first known glass sculpture in the round depicted the Egyptian ruler Amenhotep II. The purposes for which glass was used overlap with those traditionally known for objects made in faience, and both materials can be regarded as artificial versions of semiprecious stones, notably turquoise, lapis lazuli, and green feldspar. The techniques by which glass was worked in the Pharaonic period fall into two broad groups—the forming of vessels around a friable core, which was subsequently removed, and the casting of glass in molds to make solid objects. The vessels produced by core forming were almost invariably small, a matter of a few centimeters in height, and were mainly used for precious substances such as unguents. Cast items included sculpture as well as inlays and small amulets.","الزجاج, استخدامه والتخلص منه","Verre, utilisation et écart","Glasbearbeitung, Gebrauch und Entsorgung",2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0028t1z4,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz0028t1z4-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religion|~|Epithets (forms & function),,,"Budde, Dagmar",,,,,,Y,,,,,,,,"Epithets, Divine",,uee1038,,,,,,"The almost infinite number of epithets applied to Egyptian deities attests to the complex and diverse nature of Egyptian gods. In general, epithets outline a deity’s character, describe his/her physical appearance and attributes, and give information about the cult. Epithets immediately follow the deity’s name and can be made up of several distinct components. In hymns and ritual scenes, epithets often occur in long strings. It is useful to distinguish between epithets that identify a unique aspect of a deity’s personality (“personal epithets”) and epithets that refer to a particular situation or activity (“situational epithets”); in the latter case, the epithet can be applied to multiple deities.",الألقاب الإلهية,Épithètes divines,Götterbeinamen/Götterepitheta,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002b2xv3,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002b2xv3-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Esna,,,"Hallof, Jochen",,,,,,Y,,,,,,,,Esna,,uee1602,,,,207,,"The temple of Esna was the last Egyptian temple to be decorated with hieroglyphic texts. It was erected in the Ptolemaic Period and enlarged with a hypostyle hall, decorated mainly in Roman times. The temple was dedicated to an androgynous, nameless, omnipotent creator god, which manifested itself as both the male god Khnum/Khnum-Ra and the female deity Neith. Nothing more than the hypostyle hall has survived from the temple. Its walls are decorated with some unique ritual scenes, such as the dance of the pharaoh before the gods, and the catching of fishes and birds with a clap net. The temple’s columns, decorated mainly with inscriptions, display the only temple ritual known from ancient Egypt that is preserved in its entirety. The inscriptions are written in Middle Egyptian with some Demotic influence. To broaden the range of meanings of the hieroglyphs, the priestly scholars made liberal use of the acrophonic writing principle. Esna was surrounded by minor temples and sanctuaries, of which only Esna North and Contra Latopolis have survived.",معبد إسنا,Esna,Esna,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002bfks5,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002bfks5-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society|~|Economy |~|Land Tenure,,,"Katary, Sally L. D.",,,,,,Y,,,,,,,,Land Tenure (To the End of the Ptolemaic Period),,uee1052,,,,,,"Land tenure describes the regime by means of which land is owned or possessed, whether by landholders, private owners, tenants, sub-lessees, or squatters. It embraces individual or group rights to occupy and/or use the land, the social relationships that may be identified among the rural population, and the converging influences of the local and central power structures. Features in the portrait of ancient Egyptian land tenure that may be traced over time in response to changing configurations of government include state and institutional landownership, private smallholdings, compulsory labor (corvée), cleruchies, leasing, and tenancy. Such documents as Papyrus Harris I, the Wilbour Papyrus, Papyrus Reinhardt, and the Ptolemaic Zenon and Menches archives provide evidence of various regimes of landholding, the status of the landholders, their relationship to the land, and the way in which the harvest was divided among cultivators, landowners, and the state. Ptolemaic leases and conveyances of land represent the perspective of individual landowners and tenants.",(حيازة الأراضي (حتى نهاية العصر البطلمي,Le régime de la propriété foncière jusqu'à la fin de la période ptolémaïque,Feldereinteilung bis zum Ende der Ptolemäerzeit,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002bp8x1,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002bp8x1-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Uses and Applications|~|Imiut|~|Food and Drink",,,"DuQuesne, Terence, 1942-",,,,,,Y,,,,,,,,Jmjwt,,uee7996,,,,,,"The Egyptian term jmjwt (imiut) had two meanings: it was both an epithet of the god Anubis, relating to his role as patron of mummification, and a designation of the deity’s particular sacred object, which took the form of a pole set into a pot, with the hide of an animal attached to the pole.",إميوت,Jmjwt,Jmjwt,2012,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002bqsfg,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002bqsfg-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Stone|~|Mineral Materials|~|Flint/Chert|~|Palettes|~|Sandstone|~|Granite",,,"Harrell, James A.",,,,,,Y,,,,,,,,Utilitarian Stones,,uee8753,,,,,,"The utilitarian stones of ancient Egypt were those rocks employed for implements and other mundane articles. Most of these fall into three categories: 1) tools for harvesting, food preparation, and stone working; 2) weapons for hunting, war, and personal protection; and 3) grinding stones for cereals and other plant products, ore rocks for gold and other metals, and raw materials for paint pigments and cosmetics. The three most common rock types used for these purposes were chert, dolerite, granite, metagraywacke, and silicified sandstone. A total of 21 ancient quarries are known for these stones.",الأحجار ذات المنفعة,Pierre utilitaire,Werkzeugsteine,2012,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002bwv0z,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002bwv0z-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Uses and Applications|~|Shabty",,,"Milde, Henk",,,,,,Y,,,,,,,,Shabtis,,uee1426,,,,,,"A shabti is a funerary figure that is usually mummiform in shape and originally represented the deceased in his dignified status. Some New Kingdom shabtis, however, are clad in the dress of daily life. Background of the shabti-concept was the need for food that had to be produced in the realm of the dead as well as on earth. There was an ambiguity in function: a shabti represented the deceased and a shabti substituted the deceased. On the one hand it was a means for the deceased to benefit from the food production, on the other hand it created a possibility to escape from the burdensome labor required for the food production. Whenever the deceased was summoned to cultivate the fields in the hereafter, a shabti was supposed to present itself on his/her behalf saying, “I shall do it, here I am.” The substitution was secured by an incantation that—after the Middle Kingdom—used to be written on the shabtis themselves. The spell is also known from the Coffin Texts and the Book of the Dead. Towards the end of the New Kingdom, the number of shabtis per burial grew considerably. A total of c. 400 was not uncommon in the Late Period. By then shabtis had become mere slaves.",(الأوشابتي (الشوابتي,Chaouabtis,Uschebtis,2012,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002c10gb,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002c10gb-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Stone|~|Mineral Materials",,,"Harrell, James A.",,,,,,Y,,,,,,,,Building Stones,,uee8751,,,,,,"The building stones of ancient Egypt are those relatively soft, plentiful rocks used to construct most temples, pyramids, and mastaba tombs. They were also employed for the interior passages, burial chambers, and outer casings of mud-brick pyramids and mastabas. Similarly, building stones were used in other mud-brick structures of ancient Egypt wherever extra strength was needed, such as bases for wood pillars, and lintels, thresholds, and jambs for doors. Limestone and sandstone were the principal building stones employed by the Egyptians, while anhydrite and gypsum were also used along the Red Sea coast. A total of 128 ancient quarries for building stones are known (89 for limestone, 36 for sandstone, and three for gypsum), but there are probably many others still undiscovered or destroyed by modern quarrying.",أحجار البناء,Pierre Construction,Bausteine,2012,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002c2fj3,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002c2fj3-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Aswan,,,"Kucharek, Andrea",,,,,,Y,,,Gebel el-Silsila,,,,,Gebel el-Silsila,,uee8501,,,NOTE: We do have official permissions that the author received from EES to publish the images she provides with this article.  A transcript of the email detailing this permission is included in the e-file for this article.,,,"Gebel el-Silsila, located on both banks of the Nile between Edfu and Kom Ombo, is a place whose significance was defined by its unique topographic features, namely, the extremely narrow river bed hemmed in by sandstone hills. From the New Kingdom on, huge quantities of sandstone for temple building were quarried here, and during the New Kingdom, Gebel el-Silsila was of considerable religious importance as a place of worship of the inundation. It was also a place of conspicuous royal favor towards private individuals. All of this resulted in a substantial number of monuments, from temples down to graffiti, most of them cut into the rock and thus still in situ.",جبل السلسلة,Gebel Silsileh,Gebel el-Silsila,2012,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002czx1r,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002czx1r-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture",,,"Harrell, James A.",,,,,,Y,,,,,,,,Gemstones,,uee8804,,,,,,"The gemstones of ancient Egypt, broadly defined, include all rocks, minerals, and biogenic materials used for jewelry (beads, pendants, ring stones, and cloisonné inlays), amulets, seals, and other small decorative items (figurines, cosmetic vessels, and inlays in furniture and sculpture). At least 38 gemstone varieties were used by the Egyptians, but ancient mines in Egypt are known for only nine of these. Some of the gemstones were imported from sources in Asia while others certainly came from undiscovered Egyptian mines.",الأحجار الكريمة,Pierre précieuse,Edelsteine,2012,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002djg21,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002djg21-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society,,,"Lippert, Sandra Luisa",,,,,,Y,,,,,,,,Law Courts,,uee8016,,,,,,"Egyptian law courts originated as councils of officials, which, besides acting as judges, also had other administrative tasks. Accordingly, they were known by the rather unspecific terms DADAt (Old Kingdom and Middle Kingdom) or qnbt (Middle Kingdom until the beginning of the Late Period), which simply means “committee.” Their members are usually referred to as srw, “officials,” although more specific designations also occur. From the 26th Dynasty onwards, the members of the courts seem to have been mainly, if not exclusively, priests with a specific juridical education, called wptjw, “judges.” From the New Kingdom onwards, a division into smaller local courts and great courts located in the capital(s) can be observed. Local courts dealt with minor cases of disputed property and petty crimes, which were punished with beatings, while the great courts attended to trials about land ownership, cases concerning officials, and crimes entailing heavier punishments like mutilation or the death penalty. This double system probably remained in action until the Ptolemaic Period when the local courts were integrated into a new system and the great courts were finally abolished and their role was taken over by Greek officials. Native Egyptian judicature fast declined under the Roman rule. Legal procedure changed little over time. Several laws about court procedure survive, which show that the conduct of cases was established in detail and that the judges had little scope for arbitrariness.",المحاكم,Cours de justice,Gerichte,2012,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002djg3j,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002djg3j-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society,,,"Loprieno, Antonio",,,,,,Y,,,,,,,,Slavery and Servitude,,uee8720,,,,,,"While various forms of coercion to labor and restriction of individual freedom did exist throughout Egyptian history, slavery is rather defined by economic than by legal indicators. Some literary texts present figures of slaves, called Hm (“laborer”) or bAk (“servant”). The documentary evidence is multifaceted: during the Old Kingdom, very large segments of the population were drawn to corvée work, exemption for religious service and even upward mobility being possible, while foreign prisoners of war were clearly enslaved (sqr-anx). With the emergence of new social elites, Egyptian texts from the early Middle Kingdom onward display a more distinct consciousness of the difference between “free” people, even if at the lower level of the social ladder (nDs), and “servants” (Hm, bAk), conscripts (Hsb), and fugitives (tSj), true slavery being presumably confined to foreign prisoners. The New Kingdom, with its relentless military operations, is the epoch of large-scale foreign slavery, but also of local—owned or rented—servitude, both of which had become economically unrenounceable, adoption of a slave being a common practice leading to “free” status (nmHj). During the first millennium BCE, references to slavery become rare and are superseded by various forms of voluntary servitude caused by economic dearth or religious commitment. “Slavery” in the legal, inherited sense of the term unfolds in Egypt during the Hellenistic Period and is based on capture in war, on purchase in the slave market, and on the enslavement of debtors.",الرق والعبودية,Esclavage et asservissement,Sklaverei und Zwangsarbeit,2012,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002dwzs4,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002dwzs4-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture",,,"Harrell, James A.",,,,,,Y,,,,,,,,Ornamental Stones,,uee8754,,,,,,"The ornamental stones of ancient Egypt comprise a large and diverse group of rocks. Their attractive colors and patterns, and ability to take a good polish, made them sought after for decorative applications in art and architecture. At least 48 varieties of ornamental stone were used by the Egyptians and these come from 45 known ancient quarries, two in northern Sudan and the rest in Egypt.",أحجار الزينة,Pierre ornemental,Dekorative Steine,2012,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002gc1pn,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002gc1pn-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religion,,,"Janák, Jiří",,,,,,Y,,,,,,,,Akh,,uee8795,,,,,,"The notion of akh, often translated as (effective) spirit, pointed toward many different meanings, such as the identity of the transfigured dead as well as that of living persons who acted efficaciously for (or on behalf of) their masters. The akh belonged to cardinal terms of ancient Egyptian religion and hence is often found in Egyptian religious texts, as well as in other textual and iconographic sources. Its basic meaning was related to effectiveness and reciprocal relationship that crossed the borderlines between different spheres.",akh|~|الآﺥ,Akh,Ach,2013,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002gx90b,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002gx90b-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Geography,,,"Fiore Marochetti, Elisa",,,,,,Y,,,,,,,,Gebelein,,uee8512,,,,,,"The site of Gebelein, whose Arabic name “two mountains” seems to reflect the ancient Egyptian jnrtj, “two rocks,” was occupied from Prehistory to the Roman Period. Tombs from Naqada I to the Middle Kingdom have been found in the area. Remains such as papyri discovered in tombs of the 4th Dynasty are the most ancient documents of their kind. A settlement developed close to the sacred area of the temple built on top of the southern hill at least from the 2nd Dynasty on. Aside from the temple blocks, the remains from there are mainly votive inscriptions offered to the goddess Hathor by kings and private individuals from the Middle Kingdom to the Ptolemaic and Roman Periods. After being a royal estate during the Old Kingdom, Gebelein appears to have become a place for recruitment of mercenaries, a military post, and, in the Ptolemaic Period, a garrison settlement.",جبلين,Gebelein,Gebelein,2013,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002hcngn,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/pdf/masters/21198-zz002hcngn-1-master.pdf,,,,,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Time and History,,,"Campagno, Marcelo",,,,,,Y,,,,,,,,Late Fourth Millennium BCE,,uee8757,,,,,,"In ancient Egypt, the late fourth millennium BCE corresponds to what is known as the late Predynastic Period (Naqada IIIa-b). It was a crucial time for the constitution of Egypt as a single political entity.  In Upper Egypt, earlier tendencies towards social differentiation and functional specialization intensify during this period, mainly in Hierakonpolis and Abydos.  From this time on, similar tendencies are also apparent in Lower Egypt, in centers such as Buto, Tell el-Farkha, and Minshat Abu Omar. The process of political unification of Egypt takes place during this period.  Authors differ with regard to specific events, but most agree that the process began in Upper Egypt and then continued outwards, to ultimately encompass the territory from Elephantine to the Nile Delta. The earliest known examples of writing (Abydos Tomb U-j) date back to this period, as well as the earliest serekhs, both anonymous and with kings’ names. These names are usually grouped under the label “Dynasty 0,” a term that only indicates the existence of kings in the Nile Valley before the advent of Dynasty 1.",أواخر الألفية الرابعة قبل الميلاد,Fin du quatrième millénaire AEC,Spätes viertes Jahrtausend v. u. Z.,2013,,,,,,,,
