Item ARK,Parent ARK,Parent ARK,Object Type,Title,STAGE URL,Thumbnail,File Name,AltTitle.other,Item Sequence,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal,viewingHint,IIIF Manifest URL
ark:/21198/z1t16wxt,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1t16wxt,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51p4w,0259sa00006_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00006|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,self-presentation|~|glamorous representation|~|group activities|~|attitudes and poses|~|hair style|~|youth,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t16wxt/manifest
ark:/21198/z1p8655f,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1p8655f,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8w42,0259sa00007_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00007|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,self-presentation|~|married couple|~|gender norms|~|bride|~|groom|~|wedding garments|~|family ties|~|marriage|~|glamorous representation,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p8655f/manifest
ark:/21198/z1jm43xx,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1jm43xx,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1767cmd,0259sa00008_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00008|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,self-presentation|~|married couple|~|gender norms|~|bride|~|groom|~|wedding garments|~|family ties|~|marriage|~|glamorous representation,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jm43xx/manifest
ark:/21198/z1dv3c4q,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1dv3c4q,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp64f7,0259sa00009_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00009|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,self-presentation|~|married couple|~|gender norms|~|bride|~|groom|~|wedding garments|~|family ties|~|marriage|~|glamorous representation,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv3c4q/manifest
ark:/21198/z1932md9,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1932md9,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q83bgq,0259sa00010_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00010|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,self-presentation|~|married couple|~|gender norms|~|bride|~|groom|~|wedding garments|~|family ties|~|marriage|~|glamorous representation,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1932md9/manifest
ark:/21198/z15b1vq1,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z15b1vq1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1tzc,0259sa00011_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00011|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,self-presentation|~|married couple|~|gender norms|~|bride|~|groom|~|wedding garments|~|family ties|~|marriage|~|glamorous representation,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15b1vq1/manifest
ark:/21198/z11k1420,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z11k1420,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1670bjg,0259sa00012_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00012|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,self-presentation|~|married couple|~|gender norms|~|bride|~|groom|~|wedding garments|~|family ties|~|marriage|~|glamorous representation,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11k1420/manifest
ark:/21198/z1wt0mhd,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1wt0mhd,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp939v,0259sa00013_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00013|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,self-presentation|~|married couple|~|gender norms|~|bride|~|groom|~|wedding garments|~|family ties|~|marriage|~|glamorous representation,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wt0mhd/manifest
ark:/21198/z1s19vr0,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1s19vr0,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p8698f,0259sa00014_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00014|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,self-presentation|~|married couple|~|gender norms|~|bride|~|groom|~|wedding garments|~|family ties|~|marriage|~|glamorous representation,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s19vr0/manifest
ark:/21198/z1nc7tf0,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1nc7tf0,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ssj,0259sa00015_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00015|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,self-presentation|~|married couple|~|gender norms|~|bride|~|groom|~|wedding garments|~|family ties|~|marriage|~|glamorous representation,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nc7tf0/manifest
ark:/21198/z1hm72nr,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1hm72nr,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15739cn,0259sa00016_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00016|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,self-presentation|~|married couple|~|gender norms|~|bride|~|groom|~|wedding garments|~|family ties|~|marriage|~|glamorous representation,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hm72nr/manifest
ark:/21198/z1cv69zg,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1cv69zg,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0rkz,0259sa00017_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00017|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|hinduism|~|femininity|~|traditional attire|~|hair style,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cv69zg/manifest
ark:/21198/z1835k8x,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio bridal portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1835k8x,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n89825,0259sa00018_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.3 cm x 11.4 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00018|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|bride|~|wedding garments|~|gender norms|~|femininity|~|tradition|~|marriage,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1835k8x/manifest
ark:/21198/z14b4tkn,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio bridal portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z14b4tkn,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7rpm,0259sa00019_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00019|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|bride|~|wedding garments|~|gender norms|~|femininity|~|tradition|~|marriage,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14b4tkn/manifest
ark:/21198/z10k42v9,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio bridal portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z10k42v9,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz147686t,0259sa00020_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00020|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|bride|~|wedding garments|~|gender norms|~|femininity|~|tradition|~|marriage,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k42v9/manifest
ark:/21198/z1vt3kbk,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio bridal portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1vt3kbk,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3qfk,0259sa00021_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00021|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|bride|~|wedding garments|~|gender norms|~|femininity|~|tradition|~|marriage,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vt3kbk/manifest
ark:/21198/z1r51j1w,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1r51j1w,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m926zc,0259sa00022_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,12.7 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00022|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|gender stereotypes|~|femininity|~|tradition|~|cultural heritage|~|role play,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r51j1w/manifest
ark:/21198/z1md0s8q,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1md0s8q,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0qhb,0259sa00023_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,11.6 cm x 17.2 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00023|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|gender norms|~|family|~|family ties|~|motherhood|~|sisterhood|~|modern fashion|~|hair style,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1md0s8q/manifest
ark:/21198/z1gn01hx,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1gn01hx,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7xht,0259sa00024_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,11.8 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00024|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|gender norms|~|family|~|family ties|~|motherhood|~|married couple|~|modern fashion|~|hair style,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gn01hx/manifest
ark:/21198/z1bv98vj,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1bv98vj,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6p79,0259sa00025_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,12 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00025|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|gender norms|~|family|~|family ties|~|motherhood|~|married couple|~|fatherhood|~|modern fashion|~|hair style,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bv98vj/manifest
ark:/21198/z1738j50,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1738j50,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k955vf,0259sa00026_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,12.8 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00026|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|gender norms|~|family|~|family ties|~|motherhood|~|married couple|~|fatherhood|~|modern fashion|~|hair style,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1738j50/manifest
ark:/21198/z13b7sdt,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z13b7sdt,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3pcz,0259sa00027_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00027|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|gender norms|~|gender roles|~|family|~|family ties|~|motherhood|~|married couple|~|fatherhood|~|modern fashion|~|hair style,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13b7sdt/manifest
ark:/21198/z1zk78xh,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1zk78xh,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0wbj,0259sa00028_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,17.7 cm x 12.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00028|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|gender norms|~|family|~|family ties|~|motherhood|~|married couple|~|fatherhood|~|modern fashion|~|hair style|~|vignetting,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zk78xh/manifest
ark:/21198/z1tx57nz,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1tx57nz,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st9n3x,0259sa00029_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,12.7 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00029|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|gender norms|~|family|~|family ties|~|motherhood|~|married couple|~|fatherhood|~|modern fashion|~|hair style|~|wedding garments|~|bride|~|groom|~|marriage,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tx57nz/manifest
ark:/21198/z1q54gvn,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1q54gvn,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j984rh,0259sa00030_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,12.7 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00030|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|gender norms|~|family|~|family ties|~|motherhood|~|married couple|~|fatherhood|~|modern fashion|~|hair style|~|childhood,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q54gvn/manifest
ark:/21198/z1kd3r4b,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1kd3r4b,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w5bpb,0259sa00031_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,12.7 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00031|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|gender norms|~|family|~|family ties|~|motherhood|~|married couple|~|fatherhood|~|modern fashion|~|hair style|~|childhood|~|army|~|sisterhood,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kd3r4b/manifest
ark:/21198/z1fn30ff,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1fn30ff,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3v5q,0259sa00032_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,12.7 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00032|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|family|~|family ties|~|childhood|~|married couple|~|fatherhood|~|motherhood|~|modern fashion|~|hair style,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fn30ff/manifest
ark:/21198/z19w27sm,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z19w27sm,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2m2f,0259sa00033_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,12.7 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00033|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|family|~|family ties|~|childhood|~|married couple|~|fatherhood|~|motherhood|~|modern fashion|~|hair style,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19w27sm/manifest
ark:/21198/z1641h0q,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1641h0q,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9t1g,0259sa00034_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,12.7 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00034|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|family|~|family ties|~|married couple|~|fatherhood|~|motherhood|~|modern fashion|~|hair style|~|bride|~|groom|~|marriage,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1641h0q/manifest
ark:/21198/z12c0r80,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z12c0r80,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w89hh,0259sa00035_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,12.7 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00035|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|family|~|family ties|~|married couple|~|modern fashion|~|hair style|~|hinduism|~|traditional attire|~|gender norms,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12c0r80/manifest
ark:/21198/z1xp8z6g,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1xp8z6g,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6t37,0259sa00036_DC01-M.tif,,,Studio Sano Collection,,1950-1971,1950/1971,,,,12.7 cm x 17.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0259sa00036|~|Collection 0259sa|~|Box 59,Studio Sano,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,glamorous representation|~|self-presentation|~|family|~|family ties|~|married couple|~|modern fashion|~|hair style|~|hinduism|~|traditional attire|~|gender norms,Tehran (Iran)|~|Iran,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xp8z6g/manifest
