Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Subject,Name.subject,Name.author,Name.creator,Name.recipient,Name.correspondent,Name.repository,AltIdentifier.local,Title,Date.creation,Date.normalized,Format.extent,Description.note,Language.text,Description.abstract
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cg0r,ark:/21198/zz0009c6r8,2,Completed,Work,,209,,,,paged,,,,Spinning|~|Patents|~|Machinery|~|Legal Decisions|~|Judgment ,"Kay, James",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/9,"In Chancery, Kay vs Marshalls, The Lord Chancellor Judgment [1 Feb 1836]",1st February 1836,1836-02-01,1 Item,The item is the judgment before the Lord Chancellor in the Court of Chancery.  The Lord Chancellor states that they must review the patent again.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cg18,ark:/21198/zz0009c6r8,2,Completed,Work,,527,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Bloxam, Richard ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/27,Letter from Richard Bloxam to Marshalls [2 June 1836],2nd June 1836,1836-06-02,1 Letter,The letter is in regards to the Masters of the Rolls.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cg2s,ark:/21198/zz0009c6r8,2,Completed,Work,,537,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Hives, John","Marshall & Company, Leeds, Eng. ","Marshall, James Garth, 1802-1873",,,MS 200/5/37,Letter from J. Hives to James G. Marshall [16 July 1836],16th July 1836,1836-07-16,1 Letter,The letter is in regards to Mr. Hives not being a witness in the trial.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cg39,ark:/21198/zz0009c6r8,2,Completed,Work,,549,,,,paged,,,,Patents|~|Spinning machinery |~|Legal Decisions,"Kay, James|~|Hawkins, Bloxam & Stocker","Atkinson, Dibb & Bolland, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/49,Copy of a letter from Atkinson Dibb & Bolland to Marshalls [10 May 1839],10th May 1839,1839-05-10,1 Letter,"The letter contains a copy of a letter dated 9th May 1839 from Hawkins, Bloxam and Stocker regarding the judgment of the trial.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cg5b,ark:/21198/zz0009c6r8,2,Completed,Work,,211,,,,paged,,,,Spinning|~|Evidence|~|Patents|~|Legal opinions|~|Machinery,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/11,Chancery Brief [May 1836],May 1836,1836-05,1 Item,The item is a list of the pleas and a list of evidence (from witnesses).,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cg6v,ark:/21198/zz0009c6r8,2,Completed,Work,,548,,,,paged,,,,Patents|~|Spinning machinery |~|Legal Decisions,"Kay, James","Hawkins, Bloxam & Stocker","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/48,"Letter from Hawkins, Bloxam & Stocker to Marshalls [8 May 1839]",8th May 1839,1839-05-08,1 Letter,The letter is in regards to Kay's patent having been found to be invalid.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cg7c,ark:/21198/zz0009c6r8,2,Completed,Work,,538,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery |~|Legal opinions,"Marshall & Company, Leeds, Eng. |~|Kay, James","Houldsworth, Mr. ","Marshall & Company, Leeds, Eng. ","Ashworth, Henry, 1794-1880 ",,,MS 200/5/38,Letter from Houldsworth to Henry Ashworth [16 July 1836],16th July 1836,1836-07-16,1 Letter,The letter is in regards to the representation of the Marshalls in court.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cg8w,ark:/21198/zz0009c6r8,2,Completed,Work,,556,,,,paged,,,,Patents|~|Spinning machinery |~|Legal Decisions,"Kay, James|~|Langdale, Henry Bickersteth, Baron, 1783-1851 ","Atkinson, Dibb & Bolland, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/56,Letter from Atkinson to Marshalls [16 July 1839],16th July 1839,1839-07-16,1 Letter,The letter is in regards to the judgment of Lord Langdale.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgbx,ark:/21198/zz0009c6r8,2,Completed,Work,,528,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/28,Letter from James G Marshall to Father [6 June 1836],6th June 1836,1836-06-06,1 Letter,The letter is in regards to collecting evidence.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgcf,ark:/21198/zz0009c6r8,2,Completed,Work,,547,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James|~|Hawkins, Bloxam & Stocker","Mulholland, Andrew ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/47,Letter from Mulholland to Marshalls [2 Feb 1839],2nd February 1839,1839-02-02,1 Letter,"The letter is in regards to Kay's patent trial, especially representation by Hawkins, Bloxam and Stocker.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgdz,ark:/21198/zz0009c6r8,2,Completed,Work,,539,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Berry, Miles ","Marshall & Company, Leeds, Eng. ","Marshall, James Garth, 1802-1873",,,MS 200/5/39,Letter from Miles Berry to James G. Marshall [21 July 1836],21st July 1836,1836-07-21,1 Letter,The letter is from the Office of Patents in regards to Kay's patent.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgfg,ark:/21198/zz0009c6r8,2,Completed,Work,,558,,,,paged,,,,Patents|~|Spinning machinery ,"Kay, James",,"Marshall & Company, Leeds, Eng. ",,"Hawkins, Bloxam & Stocker|~|Davis, James, $d 1909-1981",,MS 200/5/58,"Copies [on one sheet] of letters from James Davis to Messers. Hawkins, Bloxam & Stocker and a reply [17-21 Dec 1839]","17th December 1839, 19th December 1839, 21st December 1839",1839-12-17|~|1839-12-19|~|1839-12-21,3 Letters,"The letters are in regards to Kay's patent extension.|~|Second page is a copy of reply letter from Hawkins, et. al. to Davis dated 19th December 1839.|~|First page is a copy of a letter from Davis to Hawkins, et. al. dated 17th December 1839.|~|Third page is a copy of a letter from Davis to Hawkins, et. al. dated 21st December 1839.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cghh,ark:/21198/zz0009c6r8,2,Completed,Work,,529,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Busk, Robert","Harvey, William ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/29,Letter from William Harvey to Marshalls [17 June 1836],17th June 1836,1836-06-17,1 Letter,This letter is in regards to Mr. Busk's spinning machines.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgj1,ark:/21198/zz0009c6r8,2,Completed,Work,,546,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James|~|Hawkins, Bloxam & Stocker","Atkinson, Dibb & Bolland, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/46,"Letter from Atkinson, Dibb & Bolland to Marshalls [19 Jan 1839]",19th January 1839,1839-01-19,1 Letter,"The letter contains a copy of a note from Hawkins, Bloxam and Stocker about speeches given in court.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgkj,ark:/21198/zz0009c6r8,2,Completed,Work,,218,,,,paged,,,,"Spinning|~|Patents|~|Machinery|~|Clippings (Books, newspapers, etc.)","Kay, James",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/18,News sheet:  Yorkshire Summer Assizes [23 July 1836],23rd July 1836,1836-07-23,1 Item,The item is a printed transcription of the Kay vs. Marshalls patent dispute at York.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgm2,ark:/21198/zz0009c6r8,2,Completed,Work,,294,,,,paged,,,,Flax|~|Preparing,"Jennings, Francis",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/2/4,Jennings Specification on Flax,3rd May 1853,1853-05-03,1 Item,"The item is a patent for improvements in preparing flax, hemp, china grass and other vegetable fibrous substances.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgnk,ark:/21198/zz0009c6r8,2,Completed,Work,,17,,,,paged,,,,Spinning|~|Accounts|~|Sales|~|Account books|~|Thread|~|Wages,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/17,General Accounts,1864-1887,1864/1887,1 Ledger,"The ledger contains accounts for the annual line spinning account 1864 to 1884, the annual thread account 1864 to 1882, annual wages 1864 to 1884 and monthly account of sales and returns 1864 to 1885. There are lots of pages missing from this ledger, p. 2 to 97, p. 140 to 157 and 178 to 357.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgp3,ark:/21198/zz0009c6r8,2,Completed,Work,,531,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Busk, Robert","Richardson, Mr. ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/31,Letter from Richardson to Marshalls [24 June 1836],24th June 1836,1836-06-24,1 Letter,Author may be M. A. Richardson.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgqm,ark:/21198/zz0009c6r8,2,Completed,Work,,559,,,,paged,,,,Patents|~|Spinning machinery ,"Kay, James|~|Davis, James, $d 1909-1981","Hawkins, Bloxam & Stocker","Marshall & Company, Leeds, Eng. ","Atkinson, Dibb & Bolland, Leeds, Eng. ",,,MS 200/5/59,"Copy of a letter from Hawkins, Bloxam & Stocker to Atkinson, Dibb & Bolland [23 Dec 1839]",23rd December 1839,1839-12-23,1 Letter,This letter is in regards to the letters received from James Davis (MS 200/5/58).,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgr4,ark:/21198/zz0009c6r8,2,Completed,Work,,212,,,,paged,,,,Legal opinions|~|Jury ,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/12,List of Jurymen [July 1836],July 1836,1836-07,1 Item,The item is a list of jurymen and their addresses.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgsn,ark:/21198/zz0009c6r8,2,Completed,Work,,901,,,,paged,,,,"Clippings (Books, newspapers, etc.)|~|Breach of the peace ","Hunt, Henry ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/9/1,Leeds Mercury [27 March 1820],27th March 1820,1820-03-27,1 Article,The item is the report on the trial of Henry Hunt.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgt5,ark:/21198/zz0009c6r8,2,Completed,Work,,242,,,,paged,,,,Spinning|~|Patents|~|Legal opinions|~|Machinery,"Marshall & Company, Leeds, Eng. |~|Kay, James",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/42,"In the Common Pleas, Copy: Kay vs Marshall [18 Jan 1839]",18th January 1839,1839-01-18,1 Item,The item is shorthand writers notes on the arguments on special case.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgvp,ark:/21198/zz0009c6r8,2,Completed,Work,,532,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Westly, W. K. ","Marshall & Company, Leeds, Eng. ","Marshall, James Garth, 1802-1873",,,MS 200/5/32,Letter from W. K. Westly to James Marshall [27 June 1836],27th June 1836,1836-06-27,1 Letter,The letter is in regards to a trip carried out to collect information from Mr. Marden for the trial against Kay.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgw6,ark:/21198/zz0009c6r8,2,Completed,Work,,205,,,,paged,,,,Spinning|~|Accounts|~|Patents|~|Machinery|~|Legal System,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/5,Lawyers Bill,1834-1835 and 1840,1840|~|1834/1835,1 Item,The item is a list of contributions and fees gathered by the Marshalls for the trial against Kay.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgxq,ark:/21198/zz0009c6r8,2,Completed,Work,,540,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Campbell, James ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/40,Letter from James Campbell to Marshalls [10 Aug 1836],10th August 1836,1836-08-10,1 Letter,"The letter is in regards to two points against Kay's victory in the trial at York, with a plea to compromise with Kay.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgz7,ark:/21198/zz0009c6r8,2,Completed,Work,,902,,,,paged,,,,"Clippings (Books, newspapers, etc.)",,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/9/2,Leeds Intelligencer [12 Jan 1832],12 January 1832,1832-01-12,1 Article,The item is a collection of notifications.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ch07,ark:/21198/zz0009c6r8,2,Completed,Work,,237,,,,paged,,,,Spinning|~|Patents|~|Legal opinions|~|Machinery,"Marshall & Company, Leeds, Eng. |~|Kay, James|~|Hawkins, Bloxam & Stocker",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/37,Case [10 Aug 1838],10th August 1838,1838-08-10,1 Item,The item is notes from the case as to whether Kay's patent is lawful or not with observations.  The item is similar to MS 200/2/1/34.|~|Case in the Common Pleas.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ch1r,ark:/21198/zz0009c6r8,2,Completed,Work,,533,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Renshaw, William ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/33,Letter from William Renshaw to Marshalls [2 July 1836],2nd July 1836,1836-07-02,1 Letter,"The letter is in regards to collecting evidence for the trial, especially finding a witness to comment against the use of Kay's machine.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ch28,ark:/21198/zz0009c6r8,2,Completed,Work,,905,,,,paged,,,,"Industrial equipment |~|Spinning machinery |~|Clippings (Books, newspapers, etc.)|~|Inventions","De Girard, Philippe, 1775-1845 ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/9/5,Irish Textile Journal [15 Feb 1887],15th February 1887,1887-02-15,1 Article,The item is a letter to the editor regarding the invention of flax spinning as a reply to Mr. Marshall.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ch3s,ark:/21198/zz0009c6r8,2,Completed,Work,,903,,,,paged,,,,"Industrial equipment |~|Spinning machinery |~|Clippings (Books, newspapers, etc.)|~|Inventions","De Girard, Philippe, 1775-1845 |~|Kendrew, John|~|Porterhouse, Thomas ","Marshall, Stephen Albert, 1843-1904 ","Marshall & Company, Leeds, Eng. ",,,,MS 200/9/3,Textile Manufacturer [15 Feb 1885],15th February 1885,1885-02-15,1 Article,The item is a letter to the editor from Stephen A. Marshall.  The letter is in regards to correcting a statement about the spinning.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ch49,ark:/21198/zz0009c6r8,2,Completed,Work,,904,,,,paged,,,,"Clippings (Books, newspapers, etc.)|~|Reputation (Firm) ",,"Marshall, John III, 1840-1894","Marshall & Company, Leeds, Eng. ",,,,MS 200/9/4,The Commonweal [28 Aug 1886],28th August 1886,1886-08-28,1 Article,The item is a letter to the editor from John Marshall in regards to unfound claims by the newspaper.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ch5t,ark:/21198/zz0009c6r8,2,Completed,Work,,406,,,,paged,,,,"Public Welfare|~|Wages|~|Working Conditions|~|Labor--Standards|~|Factory workers|~|Clippings (Books, newspapers, etc.)|~|Labor relations",,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/4/6,Extract from the Shropshire Conservative [20 April 1852],20th April 1852,1852-04-20,1 Item,The item is a newspaper cutting from the Shropshire Conservative regarding reduction of wages by the Marshalls.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ch6b,ark:/21198/zz0009c6r8,2,Completed,Work,,708,,,,paged,,,,Inventories|~|Stock |~|Industrial equipment |~|Industrial buildings|~|Sales of business enterprises |~|Estate sales ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/7/8,Particulars of Sale,,,1 Booklet,The item is the particulars of sale of Marshall's property in Shrewsbury.  The item also contains plans of the ground to be sold.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ch7v,ark:/21198/zz0009c6r8,2,Completed,Work,,701,,,,paged,,,,Inventories|~|Stock |~|Sales of business enterprises ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/7/1,Sale Catalogue [Oct 1886],19th-22nd & 25th October 1886,1886-10-25|~|1886-10-19/1886-10-22,1 Booklet,The item is a sale catalogue for the machinery held at the Leeds mill.  The catalogue has annotated sale prices.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ch8c,ark:/21198/zz0009c6r8,2,Completed,Work,,705,,,,paged,,,,Inventories|~|Stock |~|Industrial equipment |~|Industrial buildings|~|Sales of business enterprises |~|Estate sales ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/7/5,Sale Catalogue [21 May 1896],21st May 1896,1896-05-21,1 Booklet,The item is a sale catalogue for Marshall Mills Estate in Leeds and includes three plans of the area to be sold.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ch9w,ark:/21198/zz0009c6r8,2,Completed,Work,,704,,,,paged,,,,Inventories|~|Stock |~|Industrial equipment |~|Spinning machinery |~|Sales of business enterprises ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/7/4,Sale Catalogue [20 Dec 1886],20th December 1886,1886-12-20,1 Booklet,The item is a sale catalogue for the effects held at the Shrewsbury mill.  The catalogue also has annotated sale prices.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009chbd,ark:/21198/zz0009c6r8,2,Completed,Work,,702,,,,paged,,,,Inventories|~|Stock |~|Industrial equipment |~|Sales of business enterprises ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/7/2,Sale Catalogue [Nov 1886],2nd-4th November 1886,1886-11-02/1886-11-04,1 Booklet,The item is a sale catalogue for the machinery held at the Shrewsbury mill.  The catalogue also has annotated sale prices.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009chcx,ark:/21198/zz0009c6r8,2,Completed,Work,,491,,,,paged,,,,Wages|~|Factory School|~|Working Conditions|~|Labor--Standards|~|Factory workers|~|Child labor |~|Factory laws and legislation|~|Labor relations|~|Working time,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/4/9/1,Register [1813-1885],1813-1885,1813/1885,1 Notebook,"The item is a register of employees and of school children, especially concerned with the ages of hands.  There are also some production and machine experiments notes in this book.  There are many pages missing from this book, p. 2-36, p. 38-49, p. 52-63.|~|There are some loose pages that have been torn out of the book at the end of the register, these have been kept in the order they were found in.|~|This material is fragile.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009chdf,ark:/21198/zz0009c6r8,2,Completed,Work,,601,,,,paged,,,,Ireland|~|Research Work|~|Diaries|~|Tours|~|Cumberland (England)|~|Cumbria (England) |~|Scotland,,"Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ",,,,MS 200/6/1,"Tour Book, Scotland and Ireland",1800-1803,1800/1803,1 Notebook,"The notebook contains notes from visits to mills in Ripon, Ambleside, Whitehaven, Glasgow, Aberdeen, Dublin and Belfast.  The notebook contains a list of the planned places to visit.  The visits were an opportunity to see how other mills worked.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009chfz,ark:/21198/zz0009c6r8,2,Completed,Work,,603,,,,paged,,,,Ireland|~|Research Work|~|Diaries|~|Tours|~|Cumberland (England)|~|Cumbria (England) |~|Scotland,,"Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ",,,,MS 200/6/3,"Tour Book, Scotland and Ireland",1807-1829,1807/1829,1 Notebook,"The notebook contains comments on John Marshall's tours of Scotland in 1807 and 1821, taking in sights such as Glasgow, Falkirk, Stirling and Edinburgh, and to Ireland in 1829 covering Wrexford and Dublin.  There is also some notes on linen manufacture in Ireland.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009chgg,ark:/21198/zz0009c6r8,2,Completed,Work,,602,,,,paged,,,,Ireland|~|Industrial production |~|Research Work|~|Diaries|~|Tours|~|Cumberland (England)|~|Cumbria (England) |~|Scotland,,"Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ",,,,MS 200/6/2,"Tour Book, Cumberland Scotland and Ireland",1800-1807,1800/1807,1 Notebook,"The notebook contains notes from John Marshalls tours of Cumberland, Scotland and Ireland, mainly commentary on what activities were undertaken, notes on views and scenery and comments of inns that were stayed in.  There are also some notes on general manufacturing processes not necessarily to do with the linen trade.  The places visited include Ripon, Ambleside, Whitehaven, Workington, Allonby, Carlisle, Moffat, Lanark, Glasgow, Stirling, Manchester and Dublin.  The notebook also contains a detailed list of places that were visited on the tour.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009chh0,ark:/21198/zz0009c6r8,3,Pending,Work,,407,,,,paged,,private,,Strikes and lockouts|~|Personnel management |~|Labor disputes|~|Wages|~|Working Conditions|~|Labor--Standards|~|Factory workers|~|Labor relations|~|Working time,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/4/7,Strike Book [1871-1902] [1 IMAGE MISSING],1871-1902,1871/1902,1 Notebook,"The notebook seems to have been put together from other sources, so the page numbers are not necessarily in numerical order but the contents appear to be in chronological order.|~|Many of the newspaper clippings indicate labor activism initiated on the part of women factory workers, juvenile laborers (male and female) as well as adult males.|~|The notebook contains notes about strikes that took place in the mills.  The notebook consists of newspaper clippings, printed reports from the staff and handwritten notes from meetings.  Inserted are a number of letters between various members of the Marshall family throughout the notebook.  There is also a collection of correspondence and notes at the back of the book titled 'Preliminaries of the Strike of 1872'.  Pages 1 to 4 and 17 to 22 are missing from the notebook.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rvwn1,ark:/21198/zz0009c6r8,2,Completed,Work,,228,,,,paged,,,,Spinning|~|Evidence|~|Inventories|~|Patents|~|Machinery,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/28,List of Addresses,,,1 Item,The item is a list of people and addresses.  It was possibly a list of people who were donating money or witnesses.  There is no date but presumably it was made for the trial.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rvwpj,ark:/21198/zz0009c6r8,2,Completed,Work,,206,,,,paged,,,,Spinning|~|Patents|~|Machinery|~|Legal System,"Atkinson, John|~|Kay, James",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/6,Articles of Agreement,13th January 1835,1835-01-13,1 Item,The item is an article of agreement between John Atkinson and various flax spinners against Kay.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rvwq2,ark:/21198/zz0009c6r8,2,Completed,Work,,521,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Thackeray, William ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/21,Letter from William Thackeray to Marshalls [7 July 1835],7th July 1835,1835-07-07,1 Letter,,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rvwrk,ark:/21198/zz0009c6r8,2,Completed,Work,,208,,,,paged,,,,Spinning|~|Patents|~|Legal opinions|~|Machinery|~|Legal Decisions,"Kay, James|~|Hadden, Alexander |~|Hadden, Thomas Leys |~|Hadden, James ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/8,Hadden vs Kay [3 Sep 1835],3rd September 1835,1835-09-03,1 Item,"The item is printed notes about a patent infringement case that Kay brought about against James Hadden, Alexander Hadden and Thomas Leys Hadden.  It is a separate case to the one Kay brought against the Marshalls, although they are at the same time.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rvws3,ark:/21198/zz0009c6r8,2,Completed,Work,,221,,,,paged,,,,Spinning|~|Evidence|~|Patents|~|Machinery,"Marshall & Company, Leeds, Eng. |~|Kay, James",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/21,Witness notes [23 Nov 1836],23rd November 1836,1836-11-23,1 Item,The item is notes regarding the support of the Marshalls case from Irish flax growers and spinners.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rw2cr,ark:/21198/zz0009c6r8,2,Completed,Work,,541,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/41|~|MS 200/5/42,Letters from James Garth Marshall to Father [13 & 19 Aug 1836],13th August 1836 and 19th August 1836,1836-08-13|~|1836-08-19,2 Items,"Consists of two letters dated 13th August 1836 and 19th August 1836 from James Garth Marshall to his father, John Marshall, containing copies of correspondence related to the Kay case and the flax market.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rwvph,ark:/21198/zz0009c6r8,2,Completed,Work,,802,,,,paged,,,,Spinning machinery |~|Linen|~|Industrial production |~|History|~|Flax industry|~|Textile industry,"De Girard, Philippe, 1775-1845 |~|Kay, James",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/8/2,Mémoire au Roi sur la Priorité due à la France dans l'Invention des Machines à Filer le Lin,1844,1844,1 Booklet,The booklet is about the history of flax spinning machines.  It appears to have been annotated for the case against Kay.|~|Booklets are in French.,French,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rwvq1,ark:/21198/zz0009c6r8,2,Completed,Work,,293,,,,paged,,,,Accounts|~|Partnership,"Benyon, Thomas|~|Benyon, Mrs. Henry ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/2/3,Proposals of Thomas Benyon to Mrs. Henry Benyon,13th February 1850,1850-02-13,1 Item,The item is a statement of agreement between Thomas Benyon and Mrs. Henry Benyon concerning the renting of land and other finances.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rwvrj,ark:/21198/zz0009c6r8,2,Completed,Work,,562,,,,paged,,,,Partnership,"Benyon, Thomas|~|Marshall & Company, Leeds, Eng. |~|Benyon, Benjamin","Cunliffes, Charlewood and Bury ","Marshall & Company, Leeds, Eng. ",,,,MS 200/5/62,"Letter from Cunliffes, Charlewood & Bury [23 May 1850]",23rd May 1850,1850-05-23,1 Letter,The letter is in regards to the settlement of the Benyon partnership.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rwvs2,ark:/21198/zz0009c6r8,2,Completed,Work,,295,,,,paged,,,,Accounts|~|Partnership,"Benyon, Thomas",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/2/5,Benyon's Settlement Accounts,14th December 1864,1864-12-14,1 Item,The item is the Benyon's accounts.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rwvtk,ark:/21198/zz0009c6r8,2,Completed,Work,,296,,,,paged,,,,Accounts|~|Partnership,"Benyon, Thomas",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/2/6,Benyon's First and Second Settlements,January 1865,1865-01,1 Item,The item is the Benyon's accounts.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rwvv3,ark:/21198/zz0009c6r8,2,Completed,Work,,801,,,,paged,,,,Derwent Water (England) |~|Acquisition of property |~|Cumbria (England) ,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/8/1,Notes on the Derwentwater Property,1832,1832,4 Pages,The item is notes on prospective properties to buy.,,
